condition,auroc,auprc,f1
no_course_features,0.881179558893192,0.9081665386827982,0.8006751572809575
full,0.879042489031354,0.9069085285228708,0.7992346187812776
no_temporal,0.8723391858003139,0.9012691356020668,0.7941303409581355
no_vle,0.8705277890024472,0.9007561195733472,0.7930197268588771
no_assessment,0.835629739900446,0.8718988137249544,0.7578532187632061
no_edge_attrs,0.8325803030509409,0.8745028677061035,0.75443114679594
