Evaluation,Best_Model,AUROC,F1,Precision,Recall
Baseline (Week 8),LightGBM,0.863+/-0.004,0.782+/-0.005,0.830+/-0.005,0.738+/-0.009
LCPO (Week 8),LightGBM,0.799+/-0.075,0.699+/-0.106,0.727+/-0.143,0.687+/-0.110
