Week,Model,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Balanced_Acc_mean,Balanced_Acc_std,Split
2,LightGBM,0.7661651788546495,0.0,0.7958255887767398,0.0,0.70099896658629,0.0,0.7006369426751592,0.0,0.7013613648113045,0.0,0.691344050556651,0.0,Future-Presentation
2,LogisticRegression,0.7537670243232295,0.0,0.777945429506276,0.0,0.7105493282454886,0.0,0.6595336481700118,0.0,0.7701189040151646,0.0,0.6736795729531568,0.0,Future-Presentation
2,RandomForest,0.7454356938653842,0.0,0.7723348020568586,0.0,0.6855714531977245,0.0,0.6858078979134333,0.0,0.6853351714630364,0.0,0.6757260427591891,0.0,Future-Presentation
2,XGBoost,0.752110803398279,0.0,0.7845919038816671,0.0,0.6947135815060343,0.0,0.6853932584269663,0.0,0.7042908840255041,0.0,0.6802561255384988,0.0,Future-Presentation
2,LightGBM,0.7515521816089339,0.052405216389147566,0.755287933788278,0.11842969936459766,0.6592344102976379,0.09684673935876272,0.679076229719605,0.11274078322023476,0.6501247410462263,0.11787186195093965,0.6759358588526693,0.04034306614633237,LCPO
2,LogisticRegression,0.7354317558831561,0.04465627378554304,0.7359285856839943,0.1118811651711976,0.669518810321346,0.09683737105994202,0.6476855640012331,0.10552030768627778,0.7075555426668767,0.12520434168598524,0.660999919306195,0.03901049843629871,LCPO
2,RandomForest,0.7286287719119635,0.05489977362277786,0.733906711359328,0.12095264445415031,0.647295942160386,0.09611734085850299,0.6630859649516372,0.11923029287079799,0.6419817519841873,0.10730047747242334,0.6619828261797348,0.04239684334580872,LCPO
2,XGBoost,0.7418145596194471,0.05018932579932323,0.7479567671912739,0.11775199643195597,0.653995720634729,0.09970265996371674,0.6691767940193676,0.11301335831077447,0.6476806191974885,0.11659305402537322,0.668565743519338,0.041819364303592066,LCPO
2,LightGBM,0.7694396868356339,0.0052474098311298956,0.8052706669328185,0.003358375602001617,0.7036331551428099,0.0027924658462532767,0.7288301366379176,0.007366763874395402,0.6802458682507966,0.007422761143314512,0.6984846049625333,0.0038957158378162622,Random-Student
2,LogisticRegression,0.7531846982042334,0.005234529542547581,0.782255324773418,0.004663993244227087,0.7096434829999747,0.0056441718808321675,0.6871165141240182,0.006245276162324435,0.7337539958058664,0.007973300070129209,0.6799962746740398,0.005909614564539448,Random-Student
2,Majority,0.5,0.0,0.5279652036982247,0.002307156012724908,0.691066684128732,0.0019767260710814873,0.5279652036982247,0.002307156012724908,1.0,0.0,0.5,0.0,Random-Student
2,RandomForest,0.7463573006103188,0.00401320992704288,0.7811537953803331,0.003193868556256173,0.684123142201023,0.0014634652210727434,0.7085826244751671,0.0068210374070962415,0.6613730829868165,0.004179187635083691,0.678473474324268,0.004358609999309081,Random-Student
2,XGBoost,0.7558480431497888,0.003455295222230801,0.7933776509250969,0.002625080346025829,0.6940683977647593,0.004014239786012363,0.7121735317577365,0.005439931237547373,0.6769205672171975,0.006694862042737343,0.68540636795238,0.0045492474343575996,Random-Student
4,LightGBM,0.7966264282112742,0.0,0.8227290753755689,0.0,0.72485935302391,0.0,0.7398169746994437,0.0,0.7104945717732207,0.0,0.7223904048164254,0.0,Future-Presentation
4,LogisticRegression,0.753452074718482,0.0,0.7565738774716642,0.0,0.702255258045443,0.0,0.68870112657389,0.0,0.7163536102016198,0.0,0.6860126123208943,0.0,Future-Presentation
4,RandomForest,0.7858501686189058,0.0,0.8151758984707234,0.0,0.717872191011236,0.0,0.7316156736446592,0.0,0.7046355333448217,0.0,0.7148796138411848,0.0,Future-Presentation
