,threshold,f1,precision,recall,description,total_cost
max_f1,0.4500000000000001,0.7970144885116347,0.8030079622530227,0.7911098198721673,Balanced precision and recall,
high_precision,0.3500000000000001,0.7871859630466569,0.725557461406518,0.8602556653108657,Minimize false alarms (precision ≥ 0.7),
high_recall,0.40000000000000013,0.7967638443297532,0.7662999731687684,0.8297501452643812,Catch most at-risk students (recall ≥ 0.8),
cost_sensitive,0.25000000000000006,0.7658507462686567,0.6501114940198662,0.931725740848344,Minimize cost (FN cost = 3x FP cost),2431
