,threshold,f1,precision,recall,description,total_cost
max_f1,0.40000000000000013,0.7926020048002259,0.7709420488876683,0.815514235909355,Balanced precision and recall,
high_precision,0.30000000000000004,0.7821652719665272,0.7111269614835949,0.86897152818129,Minimize false alarms (precision ≥ 0.7),
high_recall,0.40000000000000013,0.7926020048002259,0.7709420488876683,0.815514235909355,Catch most at-risk students (recall ≥ 0.8),
cost_sensitive,0.25000000000000006,0.7728635682158921,0.6779921087242438,0.8986054619407321,Minimize cost (FN cost = 3x FP cost),2516
