threshold,precision,recall,f1,fpr,fnr,tp,fp,tn,fn,total_flagged,flagged_rate
0.1,0.5440686040971892,0.9953515398024404,0.7035629941472431,0.9330516737081573,0.004648460197559558,3426,2871,206,16,6297,0.965945697192821
0.15000000000000002,0.576,0.9831493317838466,0.7264140817859825,0.8095547611309717,0.0168506682161534,3384,2491,586,58,5875,0.9012118423071023
0.20000000000000004,0.61241890639481,0.9599070307960488,0.7477650786465995,0.6795580110497238,0.04009296920395119,3304,2091,986,138,5395,0.8275809173186072
0.25000000000000006,0.6501114940198662,0.931725740848344,0.7658507462686567,0.560935976600585,0.06827425915165601,3207,1726,1351,235,4933,0.7567111520171805
0.30000000000000004,0.6879749664729549,0.8942475305055201,0.77766548762001,0.45368865778355544,0.10575246949447996,3078,1396,1681,364,4474,0.6863015799969321
0.3500000000000001,0.725557461406518,0.8602556653108657,0.7871859630466569,0.3639909002274943,0.13974433468913422,2961,1120,1957,481,4081,0.6260162601626016
0.40000000000000013,0.7662999731687684,0.8297501452643812,0.7967638443297532,0.28306792330191743,0.17024985473561882,2856,871,2206,586,3727,0.5717134529835864
0.4500000000000001,0.8030079622530227,0.7911098198721673,0.7970144885116347,0.2170945726356841,0.20889018012783264,2723,668,2409,719,3391,0.5201718054916398
0.5000000000000001,0.8367942894224529,0.7492736780941314,0.7906192519926426,0.16347091322716933,0.2507263219058687,2579,503,2574,863,3082,0.4727718975302961
0.5500000000000002,0.863716814159292,0.7088901801278327,0.778681985000798,0.12512187195320118,0.29110981987216733,2440,385,2692,1002,2825,0.4333486731093726
0.6000000000000002,0.8931208705790905,0.6676350958744915,0.7640897755610973,0.08937276568085797,0.3323649041255084,2298,275,2802,1144,2573,0.39469243749041266
0.6500000000000001,0.9194659776055125,0.6202789076118536,0.7408049965301874,0.06077348066298342,0.37972109238814644,2135,187,2890,1307,2322,0.3561895996318454
0.7000000000000002,0.9374412041392286,0.5790238233585125,0.7158764367816093,0.04322391940201495,0.4209761766414875,1993,133,2944,1449,2126,0.32612363859487653
0.7500000000000002,0.9506933744221879,0.5377687391051714,0.6869549081462237,0.031199220019499513,0.4622312608948286,1851,96,2981,1591,1947,0.2986654394845835
0.8000000000000003,0.9608501118568232,0.4991284137129576,0.6569789674952199,0.022749431264218394,0.5008715862870424,1718,70,3007,1724,1788,0.2742751955821445
0.8500000000000003,0.9673041332510796,0.4555490993608367,0.6193956152478767,0.017224569385765356,0.5444509006391632,1568,53,3024,1874,1621,0.24865776959656388
