threshold,precision,recall,f1,fpr,fnr,tp,fp,tn,fn,total_flagged,flagged_rate
0.1,0.5500723356373574,0.9941894247530505,0.7082686536272379,0.9096522586935326,0.005810575246949448,3422,2799,278,20,6221,0.9542874674029759
0.15000000000000002,0.5848990953375087,0.9767576990122022,0.7316648531011969,0.7754306142346441,0.023242300987797792,3362,2386,691,80,5748,0.8817303267372296
0.20000000000000004,0.6252152286206237,0.9494479953515398,0.753950859384012,0.6366590835229119,0.0505520046484602,3268,1959,1118,174,5227,0.8018100935726339
0.25000000000000006,0.6685641998734978,0.9212667054038349,0.7748320097739768,0.5108872278193045,0.07873329459616502,3171,1572,1505,271,4743,0.7275655775425679
0.30000000000000004,0.7100947100947101,0.8930854154561302,0.7911465705829366,0.4078648033799155,0.10691458454386985,3074,1255,1822,368,4329,0.6640589047399907
0.3500000000000001,0.7464682139253279,0.8596746077861709,0.7990818255468538,0.32661683457913554,0.14032539221382917,2959,1005,2072,483,3964,0.608068722196656
0.40000000000000013,0.7811558477129553,0.8285880302149913,0.8041731284364866,0.2596685082872928,0.17141196978500872,2852,799,2278,590,3651,0.5600552231937413
0.4500000000000001,0.8135288835677941,0.78965717606043,0.8014153029632906,0.20246993825154372,0.21034282393957002,2718,623,2454,724,3341,0.5125019174720049
0.5000000000000001,0.8432258064516129,0.7594421847762929,0.7991439926627942,0.15794605134871628,0.24055781522370714,2614,486,2591,828,3100,0.4755330572173646
0.5500000000000002,0.8697478991596639,0.7216734456711215,0.7888218482057797,0.12089697757556062,0.27832655432887854,2484,372,2705,958,2856,0.43810400368154623
0.6000000000000002,0.8919531545145448,0.6859384079023824,0.7754967975036953,0.0929476763080923,0.31406159209761764,2361,286,2791,1081,2647,0.4060438717594723
0.6500000000000001,0.908130081300813,0.6490412550842534,0.7570315147407658,0.0734481637959051,0.35095874491574663,2234,226,2851,1208,2460,0.37735849056603776
0.7000000000000002,0.9269044473800088,0.6115630447414294,0.7369158060563628,0.05394865128371791,0.3884369552585706,2105,166,2911,1337,2271,0.34836631385181777
0.7500000000000002,0.9425341497880358,0.5813480534572922,0.7191374663072776,0.03964900877478063,0.4186519465427077,2001,122,2955,1441,2123,0.3256634453136984
0.8000000000000003,0.9516129032258065,0.5485183033120279,0.6959085882786582,0.031199220019499513,0.4514816966879721,1888,96,2981,1554,1984,0.3043411566191134
0.8500000000000003,0.9636363636363636,0.5081348053457292,0.665398516264029,0.021449463763405913,0.49186519465427075,1749,66,3011,1693,1815,0.27841693511274734
