Model,Split,AUROC,F1,Balanced_Acc
LogisticRegression,Random,0.772±0.005,0.662±0.006,0.696±0.006
LogisticRegression,LCPO,0.768±0.079,0.635±0.086,0.683±0.084
RandomForest,Random,0.825±0.004,0.720±0.008,0.749±0.006
RandomForest,LCPO,0.792±0.094,0.674±0.111,0.722±0.075
XGBoost,Random,0.825±0.004,0.720±0.006,0.747±0.005
XGBoost,LCPO,0.792±0.087,0.669±0.118,0.716±0.076
LightGBM,Random,0.835±0.005,0.727±0.006,0.757±0.005
LightGBM,LCPO,0.804±0.087,0.678±0.115,0.726±0.074
