week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,auroc,auprc,f1,precision,recall,balanced_acc
8,GNN (weighted),random_student,42,,,0.8790480698361098,0.906913407846667,0.7955801104972375,0.7392937640871525,0.8611435239206534,0.7617974428941788
8,GNN (unweighted),random_student,42,,,0.8829210537467442,0.9099926594551506,0.8033664881407804,0.8448664306404892,0.7657526254375729,0.8047310468303299
8,GNN (weighted),random_student,123,,,0.8823378004296828,0.911572612228176,0.8027786167321052,0.8390151515151515,0.7695425593514765,0.8013015579081442
8,GNN (unweighted),random_student,123,,,0.882825197569743,0.9118116386464692,0.8093362509117432,0.8156424581005587,0.8031268094962363,0.7989447468103112
8,GNN (weighted),random_student,7,,,0.8801221783880915,0.9080125894053568,0.8047093451066961,0.8139327180708544,0.7956926658905704,0.7962533550519172
8,GNN (unweighted),random_student,7,,,0.8818904402403375,0.9090465218934848,0.8026139907916233,0.8195329087048833,0.7863795110593713,0.7964732405751993
2,GNN (weighted),random_student,42,,,0.7900577395735433,0.8174273185899563,0.7398034728765648,0.6868282929267683,0.8016336056009334,0.6976715369120101
2,GNN (unweighted),random_student,42,,,0.7908438763248263,0.8182823846054939,0.7395185285366513,0.6893595562279374,0.7975495915985997,0.6990341991715436
2,GNN (weighted),random_student,123,,,0.790125730076943,0.8190223415951332,0.7414772727272727,0.6271525830997197,0.906774753908512,0.648641059441981
2,GNN (unweighted),random_student,123,,,0.7897934224604505,0.8180194323965304,0.7430513411821823,0.6397074190177638,0.8862188766647365,0.6609490455336776
2,GNN (weighted),random_student,7,,,0.7944126180228923,0.8229297063452458,0.7453902500631473,0.6584114234716645,0.8588474970896391,0.6805615898972253
2,GNN (unweighted),random_student,7,,,0.7925150646183379,0.8209708007966011,0.7443823711980136,0.6490582377137909,0.8725261932479628,0.6727715491597421
4,GNN (weighted),random_student,42,,,0.8466056694165845,0.8776602477050186,0.7614925373134328,0.7796454767726161,0.7441656942823804,0.7551892025238103
4,GNN (unweighted),random_student,42,,,0.8462818881508354,0.8771286694502055,0.7653209410397909,0.7620011567379988,0.7686697782963827,0.7509042795502665
4,GNN (weighted),random_student,123,,,0.843766282504594,0.8775348076436396,0.7694910475116312,0.7499312998076395,0.7900984365952519,0.74611304808486
4,GNN (unweighted),random_student,123,,,0.8431530794723638,0.877219860399266,0.768503937007874,0.7028324531925108,0.8477127967573828,0.7212377404408845
4,GNN (weighted),random_student,7,,,0.8467545502300282,0.8776700538337162,0.7752555422806319,0.712716621918477,0.8498253783469151,0.7335927932046669
4,GNN (unweighted),random_student,7,,,0.8464051366166543,0.8776730972093452,0.7749489448604493,0.7280634433358916,0.8282887077997672,0.7413550170988432
6,GNN (weighted),random_student,42,,,0.8630277549500792,0.8933859608265049,0.7853700028352708,0.7639271924986211,0.808051341890315,0.7652448667947036
6,GNN (unweighted),random_student,42,,,0.8626300043738374,0.8933762459077652,0.7796610169491526,0.7950272892662219,0.76487747957993,0.772840815016943
6,GNN (weighted),random_student,123,,,0.8555590093603376,0.8911727631933243,0.7762136560978818,0.711357607909332,0.8540822235089751,0.7311327647823108
6,GNN (unweighted),random_student,123,,,0.8573991396867126,0.8920396486454345,0.7850809289232935,0.7639003012873186,0.807469600463231,0.7626546038322701
6,GNN (weighted),random_student,7,,,0.8586437907507294,0.8894029800484236,0.7869306382389589,0.7504621072088724,0.8271245634458673,0.7599536991481612
6,GNN (unweighted),random_student,7,,,0.8589960428175019,0.8895347708072168,0.7858306188925082,0.736266531027467,0.8425494761350407,0.7527116691468442
2,LightGBM,random_student,42,,,0.7291480797491323,0.7643028266995863,0.6686783343391671,0.6925,0.646441073512252,0.6636874628261649
2,LightGBM,random_student,123,,,0.7344684926132276,0.7687523732519672,0.6708670867086709,0.6961394769613948,0.6473653734800232,0.6639445525337924
2,LightGBM,random_student,7,,,0.7333155709227319,0.7663537109449688,0.672478581091237,0.6953683556108176,0.6510477299185099,0.6662260756224538
4,LightGBM,random_student,42,,,0.7876569057445588,0.8217101517013273,0.7231467473524962,0.7510999371464487,0.6971995332555426,0.720195097367071
4,LightGBM,random_student,123,,,0.7968330084334962,0.8323294435989987,0.7286447328705101,0.7610340479192939,0.6988998262883613,0.72539099334058
4,LightGBM,random_student,7,,,0.7898380246029572,0.8223881154084952,0.7194789457740078,0.7501579279848389,0.6912107101280559,0.7170292822421813
6,LightGBM,random_student,42,,,0.8108319542124293,0.8404005274106514,0.7444345503116652,0.7577039274924471,0.7316219369894983,0.7357850281575248
6,LightGBM,random_student,123,,,0.815294347880064,0.8487730766149175,0.7458233890214797,0.7692307692307693,0.7237984944991315,0.7391496564148685
6,LightGBM,random_student,7,,,0.8108141479114281,0.840627755688751,0.7374052608114133,0.7534163376860006,0.7220605355064028,0.7290406708741377
