week,fold_idx,held_out_module,held_out_presentation,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,balanced_acc_mean,balanced_acc_std
8,0,AAA,2013J,0.7243302500856459,0.044715224780908884,0.5863816179852198,0.04634106388161014,0.4331095842440602,0.020434234062354405,0.715859658932066,0.1455244623279901,0.3161904761904762,0.02465176972484722,0.6303973963686194,0.014023675997119248
8,1,AAA,2014J,0.7594226425748165,0.008906120294533318,0.6694183861469141,0.01414728651966224,0.5536085238056615,0.0216136174223016,0.6607491433297885,0.06896808747890838,0.48035714285714287,0.03423265984407287,0.6836568322981368,0.013644750612843225
8,2,BBB,2013B,0.823000366881456,0.017401595890301564,0.8812580472147357,0.00856191427127115,0.7485257447485668,0.016690917505339232,0.7642423382286052,0.11428748634813438,0.7520746887966806,0.07842419701271344,0.7192502958304697,0.06305637171563287
8,3,BBB,2013J,0.8361102748062264,0.013686641451046916,0.8830609051424488,0.008836036201849454,0.7242391989676948,0.023072529823177534,0.9105118308611931,0.07795398963355141,0.6087553648068669,0.06798586718852598,0.766784398821344,0.009575511959511049
8,4,BBB,2014B,0.8500097807558195,0.006197140030543112,0.9025640015149536,0.0034939699617911233,0.7589796733123227,0.012280691941420483,0.8953801924031387,0.06832190157869186,0.6643340857787811,0.0547758838746993,0.7803100965345074,0.016447668389862825
8,5,BBB,2014J,0.8538252314814816,0.005610398993047213,0.89120590031698,0.003630438037221722,0.7732360456965509,0.021640763268147876,0.8128399020196042,0.10180107860232017,0.7496491228070175,0.06042325321501541,0.7788176169590644,0.046885296352980096
8,6,CCC,2014B,0.7591862075665967,0.009668622949554537,0.8761745629112193,0.006367883005576983,0.615326981449053,0.025991023225311424,0.9145276181426535,0.025462377649445762,0.46472898664571877,0.03326116970503193,0.6898305566712757,0.01071857929530807
8,7,CCC,2014J,0.7541828074499499,0.005833607817690712,0.8399286240870787,0.005317961994904126,0.605835231562345,0.05175305787612289,0.8672138336187277,0.040116120032451685,0.47066756574511126,0.07325024027253389,0.6799643247444769,0.012954318752909099
8,8,DDD,2013B,0.7737331553049971,0.034873492948849345,0.8665770488448924,0.02106397218258539,0.7622555728778696,0.00807389982286921,0.6901791412891126,0.06845204532478288,0.8708701134930642,0.11044527540137651,0.6140625077269244,0.0800801208663295
8,9,DDD,2013J,0.8415683284368164,0.003553788481661621,0.8911787581662501,0.0027198817936045835,0.7512935367657312,0.016046866601295413,0.8571294731244377,0.04876635460225063,0.6735798016230838,0.05854195793734691,0.7581409261432668,0.010317646450884892
8,10,DDD,2014B,0.8401570918496757,0.0024425485405021284,0.9015868516162918,0.0019467125327215832,0.7850027530980037,0.012908689462840314,0.8302045558628837,0.04196859147878456,0.7487316421895861,0.054309751514236636,0.7511925434329977,0.01753098035960807
8,11,DDD,2014J,0.7839170638132062,0.01179347144316516,0.860736876938924,0.007023964477945729,0.6863662512502214,0.027017975567838384,0.8628297278374756,0.06524132337049622,0.5760633036597429,0.06301942246224608,0.7249003386985582,0.010109392114984104
8,12,EEE,2013J,0.8039571958619207,0.02248122047712908,0.8209541614603403,0.012273576025724021,0.6952068742885325,0.008316409478700913,0.8332884563575099,0.023055699374013236,0.5968397291196389,0.015524829674085212,0.7547417036402791,0.0060236484161879395
8,13,EEE,2014B,0.7692026365442319,0.012370655668259472,0.8143318850560626,0.007337900577272619,0.6411666211054823,0.019254374308664262,0.8439236353744516,0.04456978697388003,0.5192878338278932,0.03694332224922474,0.7128652054293528,0.008700147020168936
8,14,EEE,2014J,0.7736290958878678,0.015222503490541122,0.8018162191683473,0.012149494962950586,0.6553386494570415,0.01185387002539715,0.8791869386668856,0.0931673434635295,0.5281746031746032,0.047503165878239405,0.7336779448621554,0.007603673099899328
8,15,FFF,2013B,0.8100752508361204,0.005026799534830988,0.8589040847458376,0.0027632446984209953,0.7246679416599775,0.01471558979354385,0.628827174468029,0.05122769121250552,0.8637019230769232,0.05762089931692942,0.6534622147353926,0.05171639803258476
8,16,FFF,2013J,0.8649370416493705,0.004698733622963669,0.8973387481805858,0.00273526003008185,0.7688212231220762,0.0119418311345727,0.8390065984325922,0.07782005614585924,0.72003367003367,0.07712155940466747,0.7778250541949172,0.019403980780956242
8,17,FFF,2014B,0.8476370182401805,0.004377676131401352,0.8983332412560447,0.0031547676863462413,0.7583032972400406,0.028347874284254743,0.8398339318263017,0.07340797808124959,0.7040189125295507,0.09643753047935541,0.7567495174268549,0.010818793107054298
8,18,FFF,2014J,0.8741414732685996,0.009330919063243136,0.9087029992762373,0.006140590261107948,0.7809102446722853,0.009875929868749142,0.8852045927881524,0.06507380861682581,0.704647435897436,0.05784956754083303,0.7969074243050296,0.015119038233683707
8,19,GGG,2013J,0.6655489864864865,0.008209787364627399,0.5334689312083774,0.008787659682140509,0.5251527733126563,0.07305980706399273,0.49206188321155225,0.08596277532070265,0.6555555555555556,0.2512699227406139,0.5933183183183183,0.01910864377594978
8,20,GGG,2014B,0.6768312805704519,0.015835761399468108,0.6203429297430069,0.024096734969493157,0.6094417361109248,0.011464285227250444,0.46423738708797957,0.05218078116450771,0.9250704225352113,0.14605301040663118,0.550192115033296,0.05329506665343416
8,21,GGG,2014J,0.6603928518682617,0.010770299078438744,0.6262836096191445,0.006927807904399664,0.567294483300454,0.017782764805461634,0.4960274351032165,0.059743817200562176,0.7062295081967214,0.1802175519494062,0.5880246640082706,0.04383248928191069
