dataset,week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,auroc,auprc,f1,precision,recall,balanced_acc
oulad,8,GNN (weighted),random_student,123,,,0.8823378004296828,0.911572612228176,0.8027786167321052,0.8390151515151515,0.7695425593514765,0.8013015579081442
oulad,8,GNN (unweighted),random_student,123,,,0.882825197569743,0.9118116386464692,0.8093362509117432,0.8156424581005587,0.8031268094962363,0.7989447468103112
oulad,8,GNN (weighted),random_student,7,,,0.8801221783880915,0.9080125894053568,0.8047093451066961,0.8139327180708544,0.7956926658905704,0.7962533550519172
oulad,8,GNN (unweighted),random_student,7,,,0.8818904402403375,0.9090465218934848,0.8026139907916233,0.8195329087048833,0.7863795110593713,0.7964732405751993
oulad,2,GNN (weighted),random_student,42,,,0.7900577395735433,0.8174273185899563,0.7398034728765648,0.6868282929267683,0.8016336056009334,0.6976715369120101
oulad,2,GNN (unweighted),random_student,42,,,0.7908438763248263,0.8182823846054939,0.7395185285366513,0.6893595562279374,0.7975495915985997,0.6990341991715436
oulad,2,GNN (weighted),random_student,123,,,0.790125730076943,0.8190223415951332,0.7414772727272727,0.6271525830997197,0.906774753908512,0.648641059441981
oulad,2,GNN (unweighted),random_student,123,,,0.7897934224604505,0.8180194323965304,0.7430513411821823,0.6397074190177638,0.8862188766647365,0.6609490455336776
oulad,2,GNN (weighted),random_student,7,,,0.7944126180228923,0.8229297063452458,0.7453902500631473,0.6584114234716645,0.8588474970896391,0.6805615898972253
oulad,2,GNN (unweighted),random_student,7,,,0.7925150646183379,0.8209708007966011,0.7443823711980136,0.6490582377137909,0.8725261932479628,0.6727715491597421
oulad,4,GNN (weighted),random_student,42,,,0.8466056694165845,0.8776602477050186,0.7614925373134328,0.7796454767726161,0.7441656942823804,0.7551892025238103
oulad,4,GNN (unweighted),random_student,42,,,0.8462818881508354,0.8771286694502055,0.7653209410397909,0.7620011567379988,0.7686697782963827,0.7509042795502665
oulad,4,GNN (weighted),random_student,123,,,0.843766282504594,0.8775348076436396,0.7694910475116312,0.7499312998076395,0.7900984365952519,0.74611304808486
oulad,4,GNN (unweighted),random_student,123,,,0.8431530794723638,0.877219860399266,0.768503937007874,0.7028324531925108,0.8477127967573828,0.7212377404408845
oulad,4,GNN (weighted),random_student,7,,,0.8467545502300282,0.8776700538337162,0.7752555422806319,0.712716621918477,0.8498253783469151,0.7335927932046669
oulad,4,GNN (unweighted),random_student,7,,,0.8464051366166543,0.8776730972093452,0.7749489448604493,0.7280634433358916,0.8282887077997672,0.7413550170988432
oulad,6,GNN (weighted),random_student,42,,,0.8630277549500792,0.8933859608265049,0.7853700028352708,0.7639271924986211,0.808051341890315,0.7652448667947036
oulad,6,GNN (unweighted),random_student,42,,,0.8626300043738374,0.8933762459077652,0.7796610169491526,0.7950272892662219,0.76487747957993,0.772840815016943
oulad,6,GNN (weighted),random_student,123,,,0.8555590093603376,0.8911727631933243,0.7762136560978818,0.711357607909332,0.8540822235089751,0.7311327647823108
oulad,6,GNN (unweighted),random_student,123,,,0.8573991396867126,0.8920396486454345,0.7850809289232935,0.7639003012873186,0.807469600463231,0.7626546038322701
oulad,6,GNN (weighted),random_student,7,,,0.8586437907507294,0.8894029800484236,0.7869306382389589,0.7504621072088724,0.8271245634458673,0.7599536991481612
oulad,6,GNN (unweighted),random_student,7,,,0.8589960428175019,0.8895347708072168,0.7858306188925082,0.736266531027467,0.8425494761350407,0.7527116691468442
oulad,8,GNN (weighted),random_student,42,,,0.694652368834062,0.6995081011966799,0.6960759169017697,0.6210526315789474,0.7917152858809802,0.6273751526681166
oulad,8,GNN (unweighted),random_student,42,,,0.6927342746164569,0.6959203373563626,0.7035069075451648,0.5909541757587781,0.8690198366394399,0.6002038223404722
oulad,8,LightGBM,random_student,42,,,0.8569110510528235,0.8903321440627394,0.7795328743080869,0.7255591857250565,0.8421820303383898,0.7440482136127746
oulad,8,GNN,lcpo,0,AAA,2013J,0.6705721137375814,0.4291631474019576,0.3497267759562841,0.4102564102564102,0.3047619047619048,0.5696471394313121
oulad,8,GNN,lcpo,0,AAA,2013J,0.6705721137375814,0.4291631474019576,0.3497267759562841,0.4102564102564102,0.3047619047619048,0.5696471394313121
oulad,8,GNN,lcpo,0,AAA,2013J,0.6705721137375814,0.4291631474019576,0.3497267759562841,0.4102564102564102,0.3047619047619048,0.5696471394313121
oulad,8,GNN,lcpo,0,AAA,2013J,0.6705721137375814,0.4291631474019576,0.3497267759562841,0.4102564102564102,0.3047619047619048,0.5696471394313121
oulad,8,GNN,lcpo,0,AAA,2013J,0.6705721137375814,0.4291631474019576,0.3497267759562841,0.4102564102564102,0.3047619047619048,0.5696471394313121
oulad,8,GNN,lcpo,1,AAA,2014J,0.7344720496894409,0.5531840489596678,0.3896103896103896,0.7142857142857143,0.2678571428571428,0.6102131564088086
oulad,8,GNN,lcpo,1,AAA,2014J,0.7344720496894409,0.5531840489596678,0.3896103896103896,0.7142857142857143,0.2678571428571428,0.6102131564088086
oulad,8,GNN,lcpo,1,AAA,2014J,0.7344720496894409,0.5531840489596678,0.3896103896103896,0.7142857142857143,0.2678571428571428,0.6102131564088086
oulad,8,GNN,lcpo,1,AAA,2014J,0.7344720496894409,0.5531840489596678,0.3896103896103896,0.7142857142857143,0.2678571428571428,0.6102131564088086
oulad,8,GNN,lcpo,1,AAA,2014J,0.7344720496894409,0.5531840489596678,0.3896103896103896,0.7142857142857143,0.2678571428571428,0.6102131564088086
oulad,8,LightGBM,lcpo,0,AAA,2013J,0.8020726276121959,0.6698516614937883,0.5632911392405063,0.4218009478672986,0.8476190476190476,0.7043850633778691
oulad,8,LightGBM,lcpo,1,AAA,2014J,0.7754446640316205,0.6700158761728042,0.5361930294906166,0.3831417624521073,0.8928571428571429,0.6282467532467533
