held_out_module,model,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std,n_presentations,n_enrollments_total
AAA,GNN,0.7418764463302312,0.03558053658043746,0.627900002066067,0.054393955788654545,0.4933590540248609,0.0665322074118551,0.657027114333378,0.030952992351954423,2,748
AAA,LightGBM,0.7887586458219082,0.018828813617013284,0.6699337688332963,0.0001161173131025508,0.5497420843655615,0.019161257161484296,0.6663159083123111,0.05383791540179641,2,748
BBB,GNN,0.8407364134812457,0.016553721615342923,0.8895222135472792,0.0105678738656677,0.7512451656812839,0.02525757839209573,0.7612906020363462,0.04500219051482133,4,7909
BBB,LightGBM,0.8536488054988332,0.03525488711060991,0.8917849399715934,0.034236858475882447,0.7676256820795282,0.041847109851562814,0.7109780268005811,0.07955719234158486,4,7909
CCC,GNN,0.7566845075082733,0.007976618828824715,0.8580515934991491,0.019887860110899033,0.610581106505699,0.03893139612916199,0.6848974407078763,0.01235657987978956,2,4434
CCC,LightGBM,0.8772766577634271,0.017805670459710987,0.9279315294769793,0.024673184019665857,0.8320219549707615,0.03044567165810725,0.760976877882636,0.023498298710835336,2,4434
DDD,GNN,0.8098439098511738,0.036275949785910054,0.8800198838915895,0.020167524058999353,0.7462295284979565,0.040862056874734695,0.7120740790004368,0.07064783201618838,4,6272
DDD,LightGBM,0.8832996711203545,0.008181733139613994,0.9245015669541814,0.006966459460218646,0.8188588814172764,0.01597546531771541,0.7816964909595344,0.018055284679857973,4,6272
EEE,GNN,0.7822629760980068,0.02258227761642405,0.8123674218949168,0.012964176407781408,0.6639040482836854,0.026955981529450203,0.7337616179772625,0.01901752244087553,3,2934
EEE,LightGBM,0.8543932449059298,0.010884186205016091,0.8623226903377184,0.01203984315977755,0.7451323549531218,0.01415711770530963,0.7642433553405891,0.0055700458611823165,3,2934
FFF,GNN,0.8491976959985678,0.02578137835034571,0.8908197683646764,0.019785637020108736,0.7581756766735949,0.026956135610747948,0.7462360526655486,0.06282883260481938,4,7762
FFF,LightGBM,0.8626802509303519,0.025538701681445793,0.8976702596613857,0.02314071034200364,0.778781501277953,0.03368385489757993,0.7765815143391696,0.04066025500895263,4,7762
GGG,GNN,0.6675910396417334,0.013211236730547868,0.5933651568568429,0.04615067986685703,0.5672963309080117,0.054052316603008334,0.5771783657866283,0.04312701835077607,3,2534
GGG,LightGBM,0.650321730681484,0.016823238571882372,0.5615921993631486,0.05392311960732823,0.573977479132726,0.03261097895410174,0.5992398307431496,0.009670361874703695,3,2534
