dataset,week,fold_idx,held_out_module,held_out_presentation,model_seed,n_train,n_test,best_val_auroc,best_epoch,auroc,auprc,f1,precision,recall,balanced_acc
,8,0,AAA,2013J,42,29021,383,0.6972547519218708,4,0.6705721137375814,0.42916314740195766,0.34972677595628415,0.41025641025641024,0.3047619047619048,0.5696471394313121
,8,0,AAA,2013J,123,29021,383,0.7190802630073876,4,0.7196985268927716,0.5073622739856509,0.15126050420168066,0.6428571428571429,0.08571428571428572,0.5338643371017472
,8,0,AAA,2013J,7,29021,383,0.7217501745362463,4,0.6921205892428914,0.4811420457916902,0.25757575757575757,0.6296296296296297,0.1619047619047619,0.5629667694415896
,8,0,AAA,2013J,17,29021,383,0.6955070228652344,4,0.6373072970195272,0.4071728502539212,0.2589928057553957,0.5294117647058824,0.17142857142857143,0.5569373072970195
,8,0,AAA,2013J,99,29021,383,0.7056821902030931,4,0.6970880438506337,0.5036044843304033,0.24806201550387597,0.6666666666666666,0.1523809523809524,0.5618019869818431
,8,1,AAA,2014J,42,29008,365,0.6900085646511239,4,0.7344720496894409,0.5531840489596678,0.38961038961038963,0.7142857142857143,0.26785714285714285,0.6102131564088086
,8,1,AAA,2014J,123,29008,365,0.7072034363825142,4,0.7489765669113495,0.5991342422099014,0.27941176470588236,0.7916666666666666,0.16964285714285715,0.5749400056465274
,8,1,AAA,2014J,7,29008,365,0.7036534000968648,4,0.7580110107284022,0.6201633002740113,0.27941176470588236,0.7916666666666666,0.16964285714285715,0.5749400056465274
,8,1,AAA,2014J,17,29008,365,0.6773590700970661,4,0.7278726708074532,0.5575600713462774,0.291970802919708,0.8,0.17857142857142858,0.5794042913608131
,8,1,AAA,2014J,99,29008,365,0.6957869962754986,4,0.7509175607001694,0.6209930910575472,0.2962962962962963,0.8695652173913043,0.17857142857142858,0.5833568605307735
