week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,feature_set,auroc,auprc,f1,precision,recall,balanced_acc
8,GNN (weighted),random_student,42,,,full,0.8313722952960816,0.8740541662689854,0.7456040480708412,0.6582532946169309,0.8596849474912486,0.6817879990374531
8,GNN (unweighted),random_student,42,,,full,0.8312224648768742,0.8737726117749454,0.75564681724846,0.7118906370905339,0.8051341890315052,0.7214711152680224
8,GNN (weighted),random_student,123,,,full,0.839413209097448,0.8822317272949767,0.7530082330588981,0.8308874912648497,0.6884771279675739,0.765024161365129
8,GNN (unweighted),random_student,123,,,full,0.8388465850452569,0.8814089254853388,0.756461379412199,0.7720832077178174,0.7414591777649102,0.7469980013210803
8,GNN (weighted),random_student,7,,,full,0.8384561424888467,0.8796599398902261,0.7585890975721484,0.7979441053646,0.7229336437718277,0.7592236489340283
8,GNN (unweighted),random_student,7,,,full,0.8380261167989512,0.8794844855874087,0.7630282215917575,0.7835019932536031,0.7435972060535506,0.7570391751984268
8,GNN (weighted),random_student,17,,,full,0.8385916110383271,0.8817556219325962,0.7647791776270247,0.7365333333333334,0.7952778577598618,0.7356185943440174
8,GNN (unweighted),random_student,17,,,full,0.8401458394736439,0.8827231512700351,0.7637806045684585,0.7274622199062012,0.8039159228332854,0.7304263116954226
8,GNN (weighted),random_student,99,,,full,0.8373758805731399,0.8808391473173313,0.7647895335608647,0.7547010945832164,0.775151340443932,0.7426817710177219
8,GNN (unweighted),random_student,99,,,full,0.8405916021633062,0.8834991379444996,0.7667269439421338,0.7408602150537634,0.7944652637647737,0.7374183082749598
8,LightGBM,random_student,42,,,vle_only,0.7602286692183241,0.8025766525568179,0.7126200274348422,0.5859022556390977,0.9092765460910152,0.5974722548872715
8,LightGBM,random_student,123,,,vle_only,0.770515126559306,0.8136943090823043,0.7274384685505926,0.6610650887573964,0.8086276780544297,0.6699439535934997
8,LightGBM,random_student,7,,,vle_only,0.7600812403208739,0.8021437752616324,0.7189701238766092,0.6169237182159233,0.8614668218859138,0.6319687815541403
8,LightGBM,random_student,17,,,vle_only,0.7687860444678561,0.8113508341714348,0.7278903311901007,0.6289308176100629,0.8638065073423553,0.6416441523264744
