week,fold_idx,held_out_module,held_out_presentation,n_train,n_test,best_val_auroc,best_epoch,auroc,auprc,f1,precision,recall,balanced_acc
8,0,AAA,2013J,28998,383,0.8711329695694373,199,0.8334361082562523,0.7168770447716107,0.5644171779141104,0.7931034482758621,0.4380952380952381,0.6974648852346694
8,1,AAA,2014J,29018,365,0.8902740463789953,138,0.8020539243365331,0.7000714136264445,0.5968586387434555,0.7215189873417721,0.5089285714285714,0.7109860248447204
8,2,BBB,2013B,27735,1767,0.881670916864448,128,0.8856931734212472,0.9148925247324866,0.8205383848454636,0.789827255278311,0.8537344398340249,0.790503583553376
8,3,BBB,2013J,27333,2237,0.8848834066867421,194,0.8727812119659214,0.9041054603230084,0.7507629704984741,0.9213483146067416,0.6334763948497855,0.7873538690666837
8,4,BBB,2014B,27886,1613,0.8878061361425169,154,0.8799357885617942,0.9203423974785614,0.8074608904933814,0.8646907216494846,0.7573363431151241,0.8064535910898867
8,5,BBB,2014J,27262,2292,0.8769490700832702,199,0.8233659234892786,0.8408078826203566,0.7299593646102697,0.6305041480536057,0.8666666666666667,0.68203125
8,6,CCC,2014B,27607,1936,0.8811113922970106,134,0.8824477280186351,0.9403314495777582,0.7469879518072289,0.9663341645885288,0.6087981146897093,0.7840370663946284
8,7,CCC,2014J,27101,2498,0.8788573719160375,154,0.8107377868719045,0.8752054227494925,0.7244936950706916,0.8359788359788359,0.6392447741065408,0.7279967712897236
8,8,DDD,2013B,28159,1303,0.8843250696130829,136,0.899535148233316,0.938879932502571,0.8206185567010309,0.9018126888217524,0.7528373266078184,0.8126931731078308
8,9,DDD,2013J,27585,1938,0.8798719375799912,114,0.9012265040609728,0.9311139242056334,0.8016235413495687,0.9164733178654292,0.7123534715960325,0.8127509215639994
8,10,DDD,2014B,28223,1228,0.8817212933948371,154,0.9002650715916279,0.9338963691527588,0.8571428571428571,0.8653061224489796,0.8491321762349799,0.8212257958419158
8,11,DDD,2014J,27704,1803,0.8845402617945181,195,0.8571671212620768,0.9036723787534676,0.7334905660377359,0.908029197080292,0.6152324431256182,0.7678434942900818
8,12,EEE,2013J,28378,1052,0.8797505209879106,163,0.8835525803689577,0.8804322416939124,0.758703481392557,0.8102564102564103,0.7133182844243793,0.795903805594784
8,13,EEE,2014B,28745,694,0.883585345397655,174,0.8315171766035792,0.8573985665955167,0.7384615384615385,0.7667731629392971,0.712166172106825,0.753842189694869
8,14,EEE,2014J,28224,1188,0.8777203157354617,167,0.8197287199480182,0.8367579653511552,0.7006960556844548,0.8435754189944135,0.5992063492063492,0.7586675020885547
8,15,FFF,2013B,27900,1614,0.8813450227969966,149,0.872737556561086,0.8994291433479056,0.786046511627907,0.7612612612612613,0.8125,0.7707001278772379
8,16,FFF,2013J,27296,2283,0.882493610613275,131,0.8912611656903895,0.9157268786785792,0.8113207547169812,0.7912,0.8324915824915825,0.7970677090540104
8,17,FFF,2014B,27934,1500,0.8810032360636397,189,0.8880936372640451,0.9222675975431736,0.8201438848920863,0.8321167883211679,0.8085106382978723,0.7987507319929729
8,18,FFF,2014J,27197,2365,0.8893735915508306,126,0.904331083717834,0.930447876407158,0.8304195804195804,0.9134615384615384,0.7612179487179487,0.8403224927117049
8,19,GGG,2013J,28494,952,0.8886598984359461,144,0.7048001126126127,0.5843358939137901,0.5993945509586277,0.4706814580031696,0.825,0.6304054054054054
8,20,GGG,2014B,28586,833,0.8835503693326541,148,0.7092698450114914,0.6753517797898592,0.6338028169014085,0.4929577464788732,0.8873239436619719,0.6047498379397725
8,21,GGG,2014J,28623,749,0.8811777492495845,176,0.7121473932949343,0.6751479021152629,0.6034912718204489,0.4869215291750503,0.7934426229508197,0.6095591493132477
