week,seed,model,split,loss_weighting,auroc,auprc,f1,precision,recall,balanced_acc,best_val_auroc,best_epoch,best_threshold,pipeline_version
8,42,EnrollmentGNN,random_student,weighted,0.8313722952960816,0.8740541662689854,0.7456040480708412,0.6582532946169309,0.8596849474912486,0.6817879990374531,0.8365421846275507,138,0.30000000000000004,v2_corrected
8,42,EnrollmentGNN,random_student,unweighted,0.8312224648768742,0.8737726117749454,0.75564681724846,0.7118906370905339,0.8051341890315052,0.7214711152680224,0.8346229483270782,133,0.35000000000000003,v2_corrected
8,123,EnrollmentGNN,random_student,weighted,0.839413209097448,0.8822317272949767,0.7530082330588981,0.8308874912648497,0.6884771279675739,0.765024161365129,0.8424094892085336,125,0.45,v2_corrected
8,123,EnrollmentGNN,random_student,unweighted,0.8388465850452569,0.8814089254853388,0.756461379412199,0.7720832077178174,0.7414591777649102,0.7469980013210803,0.8422722992550249,111,0.4,v2_corrected
8,7,EnrollmentGNN,random_student,weighted,0.8384561424888467,0.8796599398902261,0.7585890975721484,0.7979441053646,0.7229336437718277,0.7592236489340283,0.8462241090858393,160,0.4,v2_corrected
8,7,EnrollmentGNN,random_student,unweighted,0.8380261167989512,0.8794844855874087,0.7630282215917575,0.7835019932536031,0.7435972060535506,0.7570391751984268,0.8459433779270296,197,0.45,v2_corrected
8,17,EnrollmentGNN,random_student,weighted,0.8385916110383271,0.8817556219325962,0.7647791776270247,0.7365333333333334,0.7952778577598618,0.7356185943440174,0.8348594043128851,143,0.30000000000000004,v2_corrected
8,17,EnrollmentGNN,random_student,unweighted,0.8401458394736439,0.8827231512700351,0.7637806045684585,0.7274622199062012,0.8039159228332854,0.7304263116954226,0.8373356203544884,188,0.35000000000000003,v2_corrected
8,99,EnrollmentGNN,random_student,weighted,0.8373758805731399,0.8808391473173313,0.7647895335608647,0.7547010945832164,0.775151340443932,0.7426817710177219,0.8325146682953735,111,0.35000000000000003,v2_corrected
8,99,EnrollmentGNN,random_student,unweighted,0.8405916021633062,0.8834991379444996,0.7667269439421338,0.7408602150537634,0.7944652637647737,0.7374183082749598,0.8344594429928308,158,0.35000000000000003,v2_corrected
