metric,mean,std,min,max
auroc,0.8439129436882958,0.06336000535148624,0.7048001126126127,0.904331083717834
auprc,0.8498860020877483,0.10619639042725183,0.5843358939137901,0.9403314495777582
f1,0.7380379564586299,0.08734825850679097,0.5644171779141104,0.8571428571428571
precision,0.7856423870854897,0.14435041598385953,0.4706814580031696,0.9663341645885288
recall,0.7264097046458118,0.12128797314348401,0.4380952380952381,0.8873239436619719
balanced_acc,0.7527867899068216,0.06912923402242621,0.6047498379397725,0.8403224927117049
