Week,Model,AUROC
2,LightGBM,0.6101893967726486
2,RF,0.638058297167401
2,XGB,0.6076394945737386
4,LightGBM,0.6969714730769833
4,RF,0.7207199847215668
4,XGB,0.6925222778176775
6,LightGBM,0.7347412952862347
6,RF,0.7542035775684983
6,XGB,0.7282306543843057
8,LightGBM,0.7734397498648936
8,RF,0.7897314217555965
8,XGB,0.7672494431385416
