Model,AUROC,AUPRC,Precision,Recall,F1,Threshold,Train_Size,Test_Size
lightgbm,0.8596714810996596,0.8689036020715454,0.821964821964822,0.6959680348710497,0.7537372147915028,0.5,23266,5817
gradient_boosting,0.8593298765457857,0.8684361475316089,0.8229706390328152,0.6923356338539775,0.7520220950877885,0.5,23266,5817
random_forest,0.853989749136712,0.8626692193166111,0.8097849008857022,0.6974209952778787,0.7494145199063232,0.5,23266,5817
xgboost,0.8400547373432636,0.8523273624007582,0.7829770068576039,0.7050490374137305,0.7419724770642202,0.5,23266,5817
logistic_regression,0.8370622743382723,0.8481252158730053,0.7837171052631579,0.6923356338539775,0.7351976856316297,0.5,23266,5817
