Model,AUROC,AUPRC,F1,Precision,Recall
Logistic Regression,0.8369514292027971,0.8477022291404459,0.7338600886490654,0.7816091954022989,0.691609153650563
Random Forest,0.853989749136712,0.8626692193166111,0.7474945961878562,0.8142123287671232,0.6908826734471486
Gradient Boosting,0.8613467245321742,0.8701344765810188,0.751672569854388,0.820094461142121,0.6937885942608064
XGBoost,0.8400547373432636,0.8523273624007582,0.7419724770642202,0.7829770068576039,0.7050490374137305
LightGBM,0.8596714810996596,0.8689036020715454,0.7537372147915028,0.821964821964822,0.6959680348710497
