Week,Model,Course,AUROC
2,LogReg,AAA_2013J,0.597936323260657
2,LogReg,AAA_2014J,0.5823282254078102
2,LogReg,BBB_2013B,0.6734699948112834
2,LogReg,BBB_2013J,0.7177137317562229
2,LogReg,BBB_2014B,0.7384170688855768
2,LogReg,BBB_2014J,0.6758723896333582
2,LogReg,CCC_2014B,0.703768453938193
2,LogReg,CCC_2014J,0.71403669601207
2,LogReg,DDD_2013B,0.6906504262698953
2,LogReg,DDD_2013J,0.7102026140324433
2,LogReg,DDD_2014B,0.684976884936057
2,LogReg,DDD_2014J,0.743493019193346
2,LogReg,EEE_2013J,0.6799574132128532
2,LogReg,EEE_2014B,0.6671824662068216
2,LogReg,EEE_2014J,0.7392282379057189
2,LogReg,FFF_2013B,0.7151976685375993
2,LogReg,FFF_2013J,0.7357605410791114
2,LogReg,FFF_2014B,0.7148389319552111
2,LogReg,FFF_2014J,0.750975686603741
2,LogReg,GGG_2013J,0.5371961651437899
2,LogReg,GGG_2014B,0.6034212377906208
2,LogReg,GGG_2014J,0.5593736548645104
2,RF,AAA_2013J,0.6394263462110586
2,RF,AAA_2014J,0.6138264129181085
2,RF,BBB_2013B,0.6980729821687969
2,RF,BBB_2013J,0.6877063269998264
2,RF,BBB_2014B,0.7388254859441984
2,RF,BBB_2014J,0.6725525096554278
2,RF,CCC_2014B,0.703054151353542
2,RF,CCC_2014J,0.706143584995501
2,RF,DDD_2013B,0.7047597333080655
2,RF,DDD_2013J,0.6861341273366416
2,RF,DDD_2014B,0.655186003319265
2,RF,DDD_2014J,0.7539310704270195
2,RF,EEE_2013J,0.7021909439598035
2,RF,EEE_2014B,0.6778842045292693
2,RF,EEE_2014J,0.7320225162877834
2,RF,FFF_2013B,0.695186680664167
2,RF,FFF_2013J,0.7255382817562305
2,RF,FFF_2014B,0.7135710594315245
2,RF,FFF_2014J,0.7465804339704197
2,RF,GGG_2013J,0.5304174329967847
2,RF,GGG_2014B,0.5918467924551489
2,RF,GGG_2014J,0.5520716337827962
2,XGB,AAA_2013J,0.6180555555555556
2,XGB,AAA_2014J,0.5664648212226067
2,XGB,BBB_2013B,0.6654847875280153
2,XGB,BBB_2013J,0.6431555227794167
2,XGB,BBB_2014B,0.7075382292025042
2,XGB,BBB_2014J,0.6405308784738756
2,XGB,CCC_2014B,0.6815389561345393
2,XGB,CCC_2014J,0.6805055453118882
2,XGB,DDD_2013B,0.6695569860137592
2,XGB,DDD_2013J,0.6583776002748474
2,XGB,DDD_2014B,0.6357681030202454
2,XGB,DDD_2014J,0.7181616801111206
2,XGB,EEE_2013J,0.6575096643598557
2,XGB,EEE_2014B,0.6386400888038831
2,XGB,EEE_2014J,0.6892535946524495
2,XGB,FFF_2013B,0.6594253104396598
2,XGB,FFF_2013J,0.695629961278757
2,XGB,FFF_2014B,0.6902532299741603
2,XGB,FFF_2014J,0.7171226345413895
2,XGB,GGG_2013J,0.5346237161275307
2,XGB,GGG_2014B,0.5582587481987421
2,XGB,GGG_2014J,0.5109687978617976
4,LogReg,AAA_2013J,0.6845476740287398
4,LogReg,AAA_2014J,0.6683088921843247
4,LogReg,BBB_2013B,0.7854206646322921
4,LogReg,BBB_2013J,0.7656302019375084
4,LogReg,BBB_2014B,0.7447039072039071
4,LogReg,BBB_2014J,0.7221085553282217
4,LogReg,CCC_2014B,0.846440288053135
4,LogReg,CCC_2014J,0.8276012305525012
4,LogReg,DDD_2013B,0.8418688225982421
4,LogReg,DDD_2013J,0.8290730662071358
4,LogReg,DDD_2014B,0.8191469239135575
4,LogReg,DDD_2014J,0.8180820306625812
