Week,Model,AUROC
2,LightGBM,0.666229912363832
2,RF,0.6833897506527423
2,XGB,0.6633246849003066
4,LightGBM,0.7225538438971837
4,RF,0.7410592941000645
4,XGB,0.7125022790271528
6,LightGBM,0.7478294206850107
6,RF,0.7609377224672025
6,XGB,0.7386384889781653
8,LightGBM,0.7811837655062243
8,RF,0.8044016406020928
8,XGB,0.774383840938869
