Week,Model,AUROC
2,logistic_regression,0.6911760697789873
2,logistic_regression,0.6919391384426898
2,logistic_regression,0.6996370176973461
2,logistic_regression,0.6966097445287976
2,logistic_regression,0.6999329735743125
2,random_forest,0.6750681566761704
2,random_forest,0.6679492465310461
2,random_forest,0.6788183117570925
2,random_forest,0.668950100667041
2,random_forest,0.6699090588615852
2,gradient_boosting,0.7130035907863739
2,gradient_boosting,0.7036986333134746
2,gradient_boosting,0.7211891795066034
2,gradient_boosting,0.711398683907275
2,gradient_boosting,0.715779289535176
2,xgboost,0.6788795941598841
2,xgboost,0.6757610497652878
2,xgboost,0.6881154413927737
2,xgboost,0.6804891948076369
2,xgboost,0.6763315434564002
2,lightgbm,0.7088235736131585
2,lightgbm,0.7036300874889346
2,lightgbm,0.7142306491294654
2,lightgbm,0.7032538456746169
2,lightgbm,0.7046039293716524
4,logistic_regression,0.7658743267591387
4,logistic_regression,0.7569128873819748
4,logistic_regression,0.7615995853495332
4,logistic_regression,0.7646373817757149
4,logistic_regression,0.7718523071589665
4,random_forest,0.7612314907921343
4,random_forest,0.7518275365948988
4,random_forest,0.7593160179804527
4,random_forest,0.7676824408793845
4,random_forest,0.7704632595671251
4,gradient_boosting,0.7904686881740728
4,gradient_boosting,0.7770692740796672
4,gradient_boosting,0.7839475097247252
4,gradient_boosting,0.7899761372626677
4,gradient_boosting,0.7989094726618294
4,xgboost,0.7593649301257361
4,xgboost,0.752260068512959
4,xgboost,0.7595192519054845
4,xgboost,0.7680703889018541
4,xgboost,0.7767083754165145
4,lightgbm,0.7861220116334086
4,lightgbm,0.7700208612400822
4,lightgbm,0.7805723619292383
4,lightgbm,0.7864027183717659
4,lightgbm,0.7926161810517713
6,logistic_regression,0.7967451945476484
6,logistic_regression,0.777986548317345
6,logistic_regression,0.7830001075178896
6,logistic_regression,0.7865403276306292
6,logistic_regression,0.7951303543515982
6,random_forest,0.797394244208967
6,random_forest,0.7826592758072802
6,random_forest,0.7865336232334214
6,random_forest,0.789355111640113
6,random_forest,0.7933734147868775
6,gradient_boosting,0.818971770580716
6,gradient_boosting,0.8029421075895685
6,gradient_boosting,0.8118265497509168
6,gradient_boosting,0.8113451187625179
6,gradient_boosting,0.8157720639199997
6,xgboost,0.8012639922587119
6,xgboost,0.7856925944066805
6,xgboost,0.788126022913257
6,xgboost,0.7868480489868499
6,xgboost,0.7967729291249002
6,lightgbm,0.817575829978377
6,lightgbm,0.7991562234938536
6,lightgbm,0.8075987671281971
6,lightgbm,0.8108573057232588
6,lightgbm,0.8092761557177616
8,logistic_regression,0.8097352733642578
8,logistic_regression,0.8106939948729087
8,logistic_regression,0.815556243414495
8,logistic_regression,0.8292224098116159
8,logistic_regression,0.8119520956038617
8,random_forest,0.820872186430374
8,random_forest,0.8292760852390794
8,random_forest,0.8316181184731776
8,random_forest,0.8370984762090897
8,random_forest,0.8354580836533789
8,gradient_boosting,0.8339144503171949
8,gradient_boosting,0.8398715168546251
8,gradient_boosting,0.8439246551827155
8,gradient_boosting,0.8543307810317871
8,gradient_boosting,0.846152240573198
8,xgboost,0.8202339081315517
8,xgboost,0.8214241596397569
8,xgboost,0.8260747947408904
8,xgboost,0.8326774688429777
8,xgboost,0.826406631872761
8,lightgbm,0.8338993350714482
8,lightgbm,0.837939669897259
8,lightgbm,0.8419235744722824
8,lightgbm,0.8512408137068127
8,lightgbm,0.846463371998148
