Week,LogReg,RF,XGB
2,0.6789089923380405,0.678496759748699,0.6471283823575728
4,0.7531442076630821,0.747543398334501,0.7192169138752676
6,0.7720443373474312,0.7733393158349116,0.7456293706472263
8,0.8048037888926242,0.8078417353210585,0.7850032764944472
