Model,Split,AUROC,F1,Balanced_Acc
LightGBM,Random,0.865±0.006,0.785±0.008,0.789±0.007
LogisticRegression,Random,0.814±0.005,0.735±0.007,0.733±0.006
Majority,Random,0.500±0.000,0.691±0.002,0.500±0.000
RandomForest,Random,0.857±0.005,0.777±0.008,0.780±0.007
XGBoost,Random,0.858±0.006,0.776±0.009,0.777±0.008
LightGBM,LCPO,0.838±0.077,0.737±0.103,0.756±0.071
LogisticRegression,LCPO,0.805±0.076,0.705±0.087,0.716±0.095
RandomForest,LCPO,0.828±0.086,0.734±0.104,0.753±0.073
XGBoost,LCPO,0.827±0.081,0.730±0.106,0.746±0.074
