Course_Presentation,Week,Model,AUROC
BBB/2014J,4,RandomForest,0.758248812134503
BBB/2014J,4,XGBoost,0.7300800286306043
BBB/2014J,4,LightGBM,0.7566090247319688
CCC/2014B,4,LogisticRegression,0.8411289586836003
CCC/2014B,4,RandomForest,0.8484784934579306
CCC/2014B,4,XGBoost,0.8490590628661883
CCC/2014B,4,LightGBM,0.8561917727390671
CCC/2014J,4,LogisticRegression,0.8000073077804609
CCC/2014J,4,RandomForest,0.8297356908675997
CCC/2014J,4,XGBoost,0.8231145095981054
CCC/2014J,4,LightGBM,0.8355809187208726
DDD/2013B,4,LogisticRegression,0.7948223425561902
DDD/2013B,4,RandomForest,0.852062161560715
DDD/2013B,4,XGBoost,0.8498998590609006
DDD/2013B,4,LightGBM,0.8603305887298173
DDD/2013J,4,LogisticRegression,0.8268313535161922
DDD/2013J,4,RandomForest,0.8472928479672295
DDD/2013J,4,XGBoost,0.8429958416769908
DDD/2013J,4,LightGBM,0.8538055236191224
DDD/2014B,4,LogisticRegression,0.805555632980369
DDD/2014B,4,RandomForest,0.8422015714759555
DDD/2014B,4,XGBoost,0.8387662324992822
DDD/2014B,4,LightGBM,0.8521954115577903
DDD/2014J,4,LogisticRegression,0.8259561490273656
DDD/2014J,4,RandomForest,0.8284227037936237
DDD/2014J,4,XGBoost,0.8241277762791116
DDD/2014J,4,LightGBM,0.8451453206646085
EEE/2013J,4,LogisticRegression,0.7484015167521043
EEE/2013J,4,RandomForest,0.7958648860026613
EEE/2013J,4,XGBoost,0.788662908146056
EEE/2013J,4,LightGBM,0.8029278653159714
EEE/2014B,4,LogisticRegression,0.741873010331729
EEE/2014B,4,RandomForest,0.7796548886616962
EEE/2014B,4,XGBoost,0.7883117638746894
EEE/2014B,4,LightGBM,0.7962164094124297
EEE/2014J,4,LogisticRegression,0.7725476886661097
EEE/2014J,4,RandomForest,0.8121258006126427
EEE/2014J,4,XGBoost,0.8081285389399425
EEE/2014J,4,LightGBM,0.8256013297131719
FFF/2013B,4,LogisticRegression,0.7844269501278772
FFF/2013B,4,RandomForest,0.7870590387074562
FFF/2013B,4,XGBoost,0.7885522206374188
FFF/2013B,4,LightGBM,0.804032743950423
FFF/2013J,4,LogisticRegression,0.8125094168473164
FFF/2013J,4,RandomForest,0.8116365327552542
FFF/2013J,4,XGBoost,0.8059560598373383
FFF/2013J,4,LightGBM,0.8238150146825945
FFF/2014B,4,LogisticRegression,0.8072508874285177
FFF/2014B,4,RandomForest,0.7999183059694479
FFF/2014B,4,XGBoost,0.8022281504616073
FFF/2014B,4,LightGBM,0.8165390649286803
FFF/2014J,4,LogisticRegression,0.8436976333126736
FFF/2014J,4,RandomForest,0.8249912483070495
FFF/2014J,4,XGBoost,0.8289668124325689
FFF/2014J,4,LightGBM,0.8439956930193054
GGG/2013J,4,LogisticRegression,0.6490404466966966
GGG/2013J,4,RandomForest,0.5933183183183183
GGG/2013J,4,XGBoost,0.6112143393393393
GGG/2013J,4,LightGBM,0.6339714714714715
GGG/2014B,4,LogisticRegression,0.6701219871530437
GGG/2014B,4,RandomForest,0.6192468619246861
GGG/2014B,4,XGBoost,0.6342094407448877
GGG/2014B,4,LightGBM,0.6614591313571808
GGG/2014J,4,LogisticRegression,0.6685423128046079
GGG/2014J,4,RandomForest,0.64239403337764
GGG/2014J,4,XGBoost,0.6591123910796042
GGG/2014J,4,LightGBM,0.6835770196425933
AAA/2013J,6,LogisticRegression,0.7141486810551558
AAA/2013J,6,RandomForest,0.7411784857828023
AAA/2013J,6,XGBoost,0.7214457005823912
AAA/2013J,6,LightGBM,0.7498115793079823
AAA/2014J,6,LogisticRegression,0.716297289666855
