Week,Model,Test_Module,Test_Presentation,N_train,N_test,AUROC,AUPRC,F1,Precision,Recall,Balanced_Acc
2,LogisticRegression,AAA,2013J,32210,383,0.6547790339157246,0.44356661496062405,0.3877551020408163,0.4175824175824176,0.3619047619047619,0.5856286399451867
2,RandomForest,AAA,2013J,32210,383,0.6749400479616307,0.48742107560063574,0.44,0.4631578947368421,0.41904761904761906,0.6177971908187736
2,XGBoost,AAA,2013J,32210,383,0.682322713257965,0.48931037849827286,0.38974358974358975,0.4222222222222222,0.3619047619047619,0.5874272010962659
2,LightGBM,AAA,2013J,32210,383,0.6812264474134977,0.5023725671705996,0.4365482233502538,0.4673913043478261,0.4095238095238095,0.6166324083590271
2,LogisticRegression,AAA,2014J,32228,365,0.6512210615471485,0.5283877780777557,0.43781094527363185,0.4943820224719101,0.39285714285714285,0.6074957651044608
2,RandomForest,AAA,2014J,32228,365,0.6210297854319594,0.4891397053311088,0.43317972350230416,0.44761904761904764,0.41964285714285715,0.5951969226425748
2,XGBoost,AAA,2014J,32228,365,0.6344226425748165,0.516637881412592,0.4326923076923077,0.46875,0.4017857142857143,0.600102343308865
2,LightGBM,AAA,2014J,32228,365,0.6555971202710333,0.5314716381467808,0.423963133640553,0.4380952380952381,0.4107142857142857,0.5887563523433088
2,LogisticRegression,BBB,2013B,30826,1767,0.7561239490913224,0.7805390027150573,0.739067755886593,0.6884512085944494,0.7977178423236515,0.6821714989949516
2,RandomForest,BBB,2013B,30826,1767,0.7700880515494283,0.8113253182199454,0.7252525252525253,0.7066929133858267,0.7448132780082988,0.6868524671486076
2,XGBoost,BBB,2013B,30826,1767,0.7703457728538726,0.805473696832101,0.7375886524822695,0.7207920792079208,0.7551867219917012,0.7020018292399353
2,LightGBM,BBB,2013B,30826,1767,0.7798840447905417,0.8173828750072738,0.7344064386317908,0.712890625,0.7572614107883817,0.6955671935635557
2,LogisticRegression,BBB,2013J,30356,2237,0.7894569534302736,0.8041267003944592,0.7372262773722628,0.6412698412698413,0.8669527896995708,0.6699502754468003
2,RandomForest,BBB,2013J,30356,2237,0.7758711805777977,0.7974699032108534,0.7185046728971962,0.6364238410596027,0.8248927038626609,0.6563829190955095
2,XGBoost,BBB,2013J,30356,2237,0.7805986163602587,0.8018469604516864,0.7325842696629213,0.6498338870431893,0.8394849785407725,0.6739402504644161
2,LightGBM,BBB,2013J,30356,2237,0.791664131061431,0.8145337413198095,0.731420161883738,0.6400515132002575,0.8532188841201717,0.6658818301197873
2,LogisticRegression,BBB,2014B,30980,1613,0.7662515796696898,0.7961771906149042,0.7419847328244275,0.6756255792400371,0.8227990970654627,0.6706842803071468
2,RandomForest,BBB,2014B,30980,1613,0.7621553059824071,0.8153213306888971,0.7254800207576544,0.6714697406340058,0.7889390519187359,0.6592563210075111
2,XGBoost,BBB,2014B,30980,1613,0.7832173097642993,0.8303963660689336,0.7391076115485564,0.6908734052993131,0.7945823927765236,0.6806474549852357
2,LightGBM,BBB,2014B,30980,1613,0.7906926017120979,0.8390324170283885,0.7456230690010298,0.6856060606060606,0.8171557562076749,0.68024225224414
2,LogisticRegression,BBB,2014J,30301,2292,0.755268107334308,0.7608161879341165,0.7046367287331142,0.6035021888680425,0.8464912280701754,0.6480720029239766
2,RandomForest,BBB,2014J,30301,2292,0.7549703795077973,0.7715232388184172,0.6982156710628394,0.6258692628650904,0.7894736842105263,0.6612298976608187
2,XGBoost,BBB,2014J,30301,2292,0.7668703551413256,0.7928028042848024,0.7054380664652568,0.6193633952254642,0.8192982456140351,0.6605171783625732
2,LightGBM,BBB,2014J,30301,2292,0.7814201845760234,0.8016825322758852,0.7150455927051672,0.6306970509383378,0.8254385964912281,0.6735699926900585
2,LogisticRegression,CCC,2014B,30657,1936,0.7693723570762525,0.8702777169607692,0.747141041931385,0.8106617647058824,0.6928515318146111,0.691071316435209
2,RandomForest,CCC,2014B,30657,1936,0.7762343320311991,0.8775636038305128,0.7470917707884532,0.8272900763358778,0.6810683424980362,0.704033417101205
2,XGBoost,CCC,2014B,30657,1936,0.7797432224445764,0.8775147551732132,0.7650273224043715,0.8227848101265823,0.7148468185388845,0.7096104379270591
2,LightGBM,CCC,2014B,30657,1936,0.7928001099527369,0.8892427680345081,0.7593628928110202,0.84,0.6928515318146111,0.71972893332812
2,LogisticRegression,CCC,2014J,30095,2498,0.7342465844430641,0.8130150193797243,0.7123955431754875,0.7365010799136069,0.6898179366149697,0.6646134018050218
2,RandomForest,CCC,2014J,30095,2498,0.7442462854884089,0.8129328715279147,0.6990363232023721,0.7761316872427984,0.6358732299393122,0.6839464671864048
2,XGBoost,CCC,2014J,30095,2498,0.7315971818541167,0.8082382064814158,0.7011866235167206,0.75115562403698,0.6574511126095752,0.6696122558121768
2,LightGBM,CCC,2014J,30095,2498,0.7524476081966724,0.8233220948651259,0.7028423772609819,0.7765089722675367,0.6419420094403236,0.6859956352620338
2,LogisticRegression,DDD,2013B,31290,1303,0.7244937319189971,0.8036542629829467,0.7334167709637046,0.7279503105590062,0.7389659520807061,0.6547770936874119
2,RandomForest,DDD,2013B,31290,1303,0.7383515070593182,0.808386153396212,0.6969909027291813,0.7830188679245284,0.6279949558638083,0.6787033602848453
2,XGBoost,DDD,2013B,31290,1303,0.7444675221917265,0.8230426965061161,0.6859154929577465,0.7767145135566188,0.6141235813366961,0.6698068887075637
2,LightGBM,DDD,2013B,31290,1303,0.7567811487772915,0.8326457976226415,0.7005649717514124,0.7961476725521669,0.6254728877679697,0.6882266399624162
2,LogisticRegression,DDD,2013J,30655,1938,0.7353612998593588,0.7861690118192024,0.7286821705426356,0.6974443528441879,0.7628494138863842,0.6600736816114672
2,RandomForest,DDD,2013J,30655,1938,0.7253842614598618,0.7897890438980129,0.6941066417212348,0.7210884353741497,0.6690712353471596,0.6614354970463181
2,XGBoost,DDD,2013J,30655,1938,0.7440009963442,0.8034397583966798,0.720112517580872,0.75,0.6925157799819658,0.6918549949367006
2,LightGBM,DDD,2013J,30655,1938,0.755432849555289,0.8122118605475096,0.7194312796208531,0.7582417582417582,0.6844003606853021,0.6962411936116498
2,LogisticRegression,DDD,2014B,31365,1228,0.7192136488177696,0.8101495977944948,0.7198417930125247,0.7109375,0.7289719626168224,0.6327532046904571
2,RandomForest,DDD,2014B,31365,1228,0.7108615244821908,0.8003308591078363,0.6777697320782042,0.740506329113924,0.6248331108144193,0.6412265762840363
2,XGBoost,DDD,2014B,31365,1228,0.7406785944237412,0.8270254337753178,0.6933139534883721,0.7607655502392344,0.636849132176235,0.6618483656705809
2,LightGBM,DDD,2014B,31365,1228,0.7476370721156393,0.8306747786479702,0.70995670995671,0.7723704866562009,0.6568758344459279,0.677080923486012
2,LogisticRegression,DDD,2014J,30790,1803,0.7555968937645496,0.8070092060969457,0.7270181987867476,0.6881625441696113,0.7705242334322453,0.6624085813625873
2,RandomForest,DDD,2014J,30790,1803,0.7514705661960855,0.8042317684292106,0.7085889570552147,0.7333333333333333,0.685459940652819,0.6836390612355003
2,XGBoost,DDD,2014J,30790,1803,0.7642329576676757,0.820830181169592,0.7187660668380462,0.7483940042826552,0.6913946587537092,0.6973387435182687
2,LightGBM,DDD,2014J,30790,1803,0.7783329087112469,0.8289843268544852,0.7267144319344934,0.7529162248144221,0.7022749752720079,0.7040415280400443
2,LogisticRegression,EEE,2013J,31541,1052,0.7656373361207175,0.7406187917315934,0.6486486486486487,0.6764705882352942,0.6230248306997742,0.7031380311134339
2,RandomForest,EEE,2013J,31541,1052,0.7584687179145029,0.7325744542058239,0.6420021762785637,0.6197478991596639,0.6659142212189616,0.6843528413155564
2,XGBoost,EEE,2013J,31541,1052,0.7681949093173503,0.7401103751895708,0.6580645161290323,0.6283367556468172,0.690744920993228,0.6967681912026895
2,LightGBM,EEE,2013J,31541,1052,0.783062193508212,0.758598255881903,0.6630434782608695,0.639412997903564,0.6884875846501128,0.7030286855927084
2,LogisticRegression,EEE,2014B,31899,694,0.7499106467512822,0.7726331871869611,0.6542056074766355,0.6885245901639344,0.6231454005934718,0.6785194790082205
2,RandomForest,EEE,2014B,31899,694,0.7536801070576599,0.7685803508195137,0.6696696696696697,0.6778115501519757,0.6617210682492581,0.6824011503711276
2,XGBoost,EEE,2014B,31899,694,0.7607992751996941,0.7812541227679535,0.6838124054462935,0.6975308641975309,0.6706231454005934,0.6980566707395124
2,LightGBM,EEE,2014B,31899,694,0.7815375408323568,0.7968853198215315,0.6952662721893491,0.6932153392330384,0.6973293768545994,0.7030064251219776
2,LogisticRegression,EEE,2014J,31405,1188,0.791272161886197,0.7580632277138339,0.6841085271317829,0.6685606060606061,0.7003968253968254,0.7222744360902256
2,RandomForest,EEE,2014J,31405,1188,0.7857273391812866,0.7503530669781577,0.6703499079189686,0.6254295532646048,0.7222222222222222,0.7017543859649122
2,XGBoost,EEE,2014J,31405,1188,0.784049243479068,0.7474588284178041,0.6745454545454546,0.62248322147651,0.7361111111111112,0.7035818713450293
2,LightGBM,EEE,2014J,31405,1188,0.807720980692472,0.770839593862148,0.6963636363636364,0.6426174496644296,0.7599206349206349,0.7242585630743525
2,LogisticRegression,FFF,2013B,30979,1614,0.7411346645681685,0.7631020809008975,0.6576750160565189,0.7062068965517241,0.6153846153846154,0.6715030493802873
2,RandomForest,FFF,2013B,30979,1614,0.7368695283297265,0.7700759393122221,0.6220971147079521,0.7504244482173175,0.53125,0.6716352301790282
2,XGBoost,FFF,2013B,30979,1614,0.7511465915797757,0.7895373228341253,0.6466060181945417,0.7738693467336684,0.5552884615384616,0.6913270952193586
2,LightGBM,FFF,2013B,30979,1614,0.7550282498032658,0.7885656122353253,0.6362359550561798,0.7652027027027027,0.5444711538461539,0.6833608966161715
2,LogisticRegression,FFF,2013J,30310,2283,0.7656903894346816,0.7993222594093001,0.7060312104597216,0.7075232459847844,0.7045454545454546,0.6942818596928186
2,RandomForest,FFF,2013J,30310,2283,0.7673842688682871,0.8013213538249305,0.679368029739777,0.758298755186722,0.6153198653198653,0.7012672385960057
2,XGBoost,FFF,2013J,30310,2283,0.7781406146702949,0.8163991283464817,0.6918238993710691,0.7418111753371869,0.6481481481481481,0.7016996448503298
2,LightGBM,FFF,2013J,30310,2283,0.7921375090324861,0.8254823610110016,0.6958929395477619,0.7701736465781409,0.6346801346801347,0.71460034131267
2,LogisticRegression,FFF,2014B,31093,1500,0.757657911669233,0.7963602688481823,0.71922377198302,0.7384806973848069,0.7009456264775413,0.6899223545231743
2,RandomForest,FFF,2014B,31093,1500,0.7530047859688694,0.8058427451477275,0.6866840731070496,0.7667638483965015,0.6217494089834515,0.688550545470319
2,XGBoost,FFF,2014B,31093,1500,0.7710127167964373,0.822075975357755,0.69921875,0.7782608695652173,0.6347517730496454,0.7004034094606024
2,LightGBM,FFF,2014B,31093,1500,0.7734770931384245,0.8224204831910971,0.6847323198942499,0.7766116941529235,0.6122931442080378,0.692232199015334
2,LogisticRegression,FFF,2014J,30228,2365,0.7949478341712003,0.8212645811586081,0.749902761571373,0.7286470143613001,0.7724358974358975,0.7255196497027294
2,RandomForest,FFF,2014J,30228,2365,0.7844967346142367,0.8218420462409797,0.7049873203719358,0.7459749552772809,0.6682692307692307,0.7070083844087873
2,XGBoost,FFF,2014J,30228,2365,0.7936702304708124,0.8309714419900909,0.7212426532325776,0.7574955908289241,0.688301282051282,0.7210530582145398
2,LightGBM,FFF,2014J,30228,2365,0.815364386061566,0.8465065800813332,0.7332185886402753,0.79182156133829,0.6826923076923077,0.7410775773018388
2,LogisticRegression,GGG,2013J,31641,952,0.6569679054054053,0.5340888590896669,0.5669781931464174,0.4527363184079602,0.7583333333333333,0.6004504504504504
2,RandomForest,GGG,2013J,31641,952,0.6131052927927927,0.5034605566694754,0.5174488567990373,0.4564755838641189,0.5972222222222222,0.5823948948948949
2,XGBoost,GGG,2013J,31641,952,0.6201365427927927,0.5020446476516938,0.4993464052287582,0.47160493827160493,0.5305555555555556,0.5845345345345345
2,LightGBM,GGG,2013J,31641,952,0.6339339339339339,0.5075942001734197,0.5098039215686274,0.48148148148148145,0.5416666666666666,0.5934684684684685
2,LogisticRegression,GGG,2014B,31760,833,0.6605722199304614,0.5847870589079356,0.6226203807390818,0.516728624535316,0.7830985915492957,0.6195827685779951
2,RandomForest,GGG,2014B,31760,833,0.622832812776239,0.5678364019233909,0.5506072874493927,0.5284974093264249,0.5746478873239437,0.5969473746243149
2,XGBoost,GGG,2014B,31760,833,0.6245594908362307,0.5561889689387609,0.5131195335276968,0.5317220543806647,0.49577464788732395,0.5857534327302729
2,LightGBM,GGG,2014B,31760,833,0.6520743709116624,0.570811174723854,0.5368731563421829,0.5634674922600619,0.5126760563380282,0.6088484884200601
2,LogisticRegression,GGG,2014J,31844,749,0.6831819524442475,0.6167672586882689,0.6002460024600246,0.48031496062992124,0.8,0.6027027027027028
2,RandomForest,GGG,2014J,31844,749,0.6647245606262001,0.588249738068078,0.5688350983358548,0.5280898876404494,0.6163934426229508,0.6190075321222862
2,XGBoost,GGG,2014J,31844,749,0.6602754393738,0.5752730554838759,0.5641838351822503,0.5460122699386503,0.5836065573770491,0.6251366120218579
2,LightGBM,GGG,2014J,31844,749,0.678433761630483,0.6098299425549475,0.5448717948717948,0.5329153605015674,0.5573770491803278,0.6108957317973711
4,LogisticRegression,AAA,2013J,32210,383,0.6920863309352518,0.5087638463322426,0.44808743169398907,0.5256410256410257,0.3904761904761905,0.6286913326481672
4,RandomForest,AAA,2013J,32210,383,0.7301815690304899,0.5402340641346036,0.4933920704845815,0.45901639344262296,0.5333333333333333,0.6479616306954437
4,XGBoost,AAA,2013J,32210,383,0.7042480301473106,0.5248952309042895,0.4774774774774775,0.452991452991453,0.5047619047619047,0.6372730387118877
4,LightGBM,AAA,2013J,32210,383,0.7407331277834875,0.5721484160551703,0.49107142857142855,0.46218487394957986,0.5238095238095238,0.6467968482356972
4,LogisticRegression,AAA,2014J,32228,365,0.7082156973461321,0.5877248498063145,0.5051546391752577,0.5975609756097561,0.4375,0.6535326086956521
4,RandomForest,AAA,2014J,32228,365,0.69432876905703,0.5929360900942511,0.4838709677419355,0.4411764705882353,0.5357142857142857,0.6176595143986447
4,XGBoost,AAA,2014J,32228,365,0.7137916431394692,0.6231823757162992,0.5361702127659574,0.5121951219512195,0.5625,0.6626729249011858
4,LightGBM,AAA,2014J,32228,365,0.7268492377188029,0.6372356050749493,0.5666666666666667,0.53125,0.6071428571428571,0.6849943534726144
4,LogisticRegression,BBB,2013B,30826,1767,0.8024782583982266,0.8397520665773125,0.734163508391987,0.7678369195922989,0.7033195020746889,0.7240134247608812
