fold_idx,held_out_module,held_out_presentation,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,balanced_acc_mean,balanced_acc_std
0,Accountancy,1819,0.5124991544913419,0.020140423010901794,0.33054053465347055,0.023726963921545996,0.2694520942300066,0.15112848225648995,0.24045639099801094,0.13446185108934286,0.3071428571428571,0.17397545386036034,0.5020562770562771,0.003306308607022439
1,Accountancy,1920,0.4832677457677457,0.019660060909350154,0.309796415142572,0.011903952178895555,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2,Accountancy,2021,0.48296898969975893,0.022203321421688457,0.2858282955382219,0.014906925660856218,0.0,0.0,0.0,0.0,0.0,0.0,0.4988165680473372,0.002646234292899148
3,Global economics,1819,0.5030570482149429,0.016932094860597414,0.44150161248344444,0.007775837926237218,0.47815760611836006,0.18379725961652463,0.4383399033730714,0.008672939592523608,0.6455384615384616,0.3522532709058999,0.505065881486934,0.004918772293554416
4,Global economics,1920,0.5149898646287192,0.04026644284789667,0.2688911891394922,0.024548110966523574,0.394054150497346,0.0004164139259584197,0.24537207044132878,0.0003230312801216809,1.0,0.0,0.5003891050583658,0.0008700653608948568
5,Global economics,2021,0.49501727392527684,0.042968649017959645,0.4427219442820597,0.02779649097115566,0.45225264343576466,0.1367232116042402,0.4546172930233161,0.013124804537299506,0.5251700680272109,0.3059012806490146,0.5162499554795741,0.014621826903043198
