dataset,week,seed,model,split,loss_weighting,pipeline_version,auroc,auprc,f1,precision,recall,balanced_acc,best_val_auroc,best_epoch,best_threshold
zenodo,8,42,EnrollmentGNN,random_student,weighted,v2_corrected,0.563529587418504,0.4089314559038748,0.4826862539349423,0.34328358208955223,0.8127208480565371,0.5190364803662967,0.5707646176911544,91,0.45
zenodo,8,123,EnrollmentGNN,random_student,weighted,v2_corrected,0.596779025759234,0.4579653523408883,0.4842105263157895,0.3723021582733813,0.6923076923076923,0.5271410490788918,0.6022275059441871,95,0.45
zenodo,8,7,EnrollmentGNN,random_student,weighted,v2_corrected,0.5176442623049473,0.35457381449711156,0.4819512195121951,0.3346883468834688,0.8606271777003485,0.5063066803873072,0.5558731265249216,69,0.45
zenodo,8,17,EnrollmentGNN,random_student,weighted,v2_corrected,0.5244894427137418,0.3900964560229094,0.47556142668428003,0.41284403669724773,0.5607476635514018,0.5509831507721167,0.5814717641179411,0,0.5
zenodo,8,99,EnrollmentGNN,random_student,weighted,v2_corrected,0.5671768115942029,0.40906999643212494,0.5119453924914675,0.3440366972477064,1.0,0.5026086956521739,0.5782138794084187,39,0.4
